key,en,ru,context,notes
prestige.action_card.title,Prestige,Престиж,PrestigePanel action card row 1,
prestige.action_card.reward,Receive +{points},Получить +{points},PrestigePanel action card row 2,{points} is compact number
prestige.action_card.reset_progress,Reset progress,Сбросить прогресс,PrestigePanel action card row 3,
prestige.action_card.get_points,Get points,Получить очки,PrestigePanel action card row 4,
prestige.talent_upgrade_bulk,x{count} - {cost},x{count} - {cost},PrestigePanel talent upgrade button,{count} is integer; {cost} is compact PP cost
prestige.card.name,{name},{name},PrestigePanel talent card row 1,{name} is talent name
prestige.card.count,Owned: {count},Кол-во: {count},PrestigePanel talent card row 2,{count} is integer talent level
prestige.card.empty, , ,PrestigePanel talent card row 5 (reserved blank row),
prestige.confirm.stage_level,Stage,Этап,PrestigeConfirmDialog label,followed by colon and value in code
prestige.confirm.character_level,Level,Уровень,PrestigeConfirmDialog label,
prestige.confirm.stage_points,Stage points,Очки этапа,PrestigeConfirmDialog label,
prestige.confirm.character_points,Level points,Очки уровня,PrestigeConfirmDialog label,
prestige.confirm.points_to_gain,Points to gain: {points},Очки к получению: {points},PrestigeConfirmDialog label,{points} is compact number
prestige.confirm.available_after,Available after,Доступно после,PrestigeConfirmDialog label,
prestige.confirm.total_earned_after,Total earned after,Все заработано,PrestigeConfirmDialog label,
prestige.confirm.warning,All normal progress will reset,Весь прогресс будет сброшен,PrestigeConfirmDialog warning text,
prestige.confirm.talents_note,Purchased talents remain,Купленные таланты сохраняются,PrestigeConfirmDialog note,
prestige.confirm.title,Prestige,Престиж,PrestigeConfirmDialog window title,
prestige.confirm.stage,Stage: {stage},Этап: {stage},PrestigeConfirmDialog stage row,{stage} is integer level
prestige.confirm.level,Level: {level},Уровень: {level},PrestigeConfirmDialog character level row,{level} is integer
prestige.confirm.reset_warning,All progress will be reset,Весь прогресс будет сброшен,PrestigeConfirmDialog reset warning,
prestige.confirm.talents_kept,Prestige talents are kept,Таланты престижа сохраняются,PrestigeConfirmDialog talents note,
prestige.confirm.yes,Yes,Да,PrestigeConfirmDialog yes button,
prestige.confirm.no,No,Нет,PrestigeConfirmDialog no button,
shop.buy_button,Buy,Купить,ShopPanel buy button,
shop.confirm.title,Confirm purchase,Подтвердите покупку,ShopPurchaseConfirmDialog title,
shop.confirm.confirm,Confirm,Подтвердить,ShopPurchaseConfirmDialog confirm button,
shop.confirm.cancel,Cancel,Отмена,ShopPurchaseConfirmDialog cancel button,
zone.01.name,Zone 1,Зона 1,ZoneConfig zone 01,
zone.02.name,Zone 2,Зона 2,ZoneConfig zone 02,
zone.03.name,Zone 3,Зона 3,ZoneConfig zone 03,
zone.04.name,Zone 4,Зона 4,ZoneConfig zone 04,
zone.05.name,Zone 5,Зона 5,ZoneConfig zone 05,
zone.06.name,Zone 6,Зона 6,ZoneConfig zone 06,
zone.07.name,Zone 7,Зона 7,ZoneConfig zone 07,
zone.08.name,Zone 8,Зона 8,ZoneConfig zone 08,
zone.09.name,Zone 9,Зона 9,ZoneConfig zone 09,
zone.10.name,Zone 10,Зона 10,ZoneConfig zone 10,
zone.01.boss,Boss 1,Босс 1,ZoneConfig zone 01 boss,
zone.02.boss,Boss 2,Босс 2,ZoneConfig zone 02 boss,
zone.03.boss,Boss 3,Босс 3,ZoneConfig zone 03 boss,
zone.04.boss,Boss 4,Босс 4,ZoneConfig zone 04 boss,
zone.05.boss,Boss 5,Босс 5,ZoneConfig zone 05 boss,
zone.06.boss,Boss 6,Босс 6,ZoneConfig zone 06 boss,
zone.07.boss,Boss 7,Босс 7,ZoneConfig zone 07 boss,
zone.08.boss,Boss 8,Босс 8,ZoneConfig zone 08 boss,
zone.09.boss,Boss 9,Босс 9,ZoneConfig zone 09 boss,
zone.10.boss,Boss 10,Босс 10,ZoneConfig zone 10 boss,
partner.01.name,Partner 1,Партнёр 1,PartnerConfig partner 01,
partner.02.name,Partner 2,Партнёр 2,PartnerConfig partner 02,
partner.03.name,Partner 3,Партнёр 3,PartnerConfig partner 03,
partner.04.name,Partner 4,Партнёр 4,PartnerConfig partner 04,
partner.05.name,Partner 5,Партнёр 5,PartnerConfig partner 05,
partner.06.name,Partner 6,Партнёр 6,PartnerConfig partner 06,
partner.07.name,Partner 7,Партнёр 7,PartnerConfig partner 07,
partner.08.name,Partner 8,Партнёр 8,PartnerConfig partner 08,
partner.09.name,Partner 9,Партнёр 9,PartnerConfig partner 09,
partner.10.name,Partner 10,Партнёр 10,PartnerConfig partner 10,
partner.11.name,Partner 11,Партнёр 11,PartnerConfig partner 11,
partner.12.name,Partner 12,Партнёр 12,PartnerConfig partner 12,
partner.13.name,Partner 13,Партнёр 13,PartnerConfig partner 13,
partner.14.name,Partner 14,Партнёр 14,PartnerConfig partner 14,
partner.15.name,Partner 15,Партнёр 15,PartnerConfig partner 15,
partner.16.name,Partner 16,Партнёр 16,PartnerConfig partner 16,
partner.17.name,Partner 17,Партнёр 17,PartnerConfig partner 17,
partner.18.name,Partner 18,Партнёр 18,PartnerConfig partner 18,
partner.19.name,Partner 19,Партнёр 19,PartnerConfig partner 19,
partner.20.name,Partner 20,Партнёр 20,PartnerConfig partner 20,
partner.21.name,Partner 21,Партнёр 21,PartnerConfig partner 21,
partner.22.name,Partner 22,Партнёр 22,PartnerConfig partner 22,
partner.23.name,Partner 23,Партнёр 23,PartnerConfig partner 23,
partner.24.name,Partner 24,Партнёр 24,PartnerConfig partner 24,
partner.25.name,Partner 25,Партнёр 25,PartnerConfig partner 25,
partner.26.name,Partner 26,Партнёр 26,PartnerConfig partner 26,
partner.27.name,Partner 27,Партнёр 27,PartnerConfig partner 27,
partner.28.name,Partner 28,Партнёр 28,PartnerConfig partner 28,
building.01.name,Building 1,Здание 1,SettlementConfig building 01,
building.02.name,Building 2,Здание 2,SettlementConfig building 02,
building.03.name,Building 3,Здание 3,SettlementConfig building 03,
building.04.name,Building 4,Здание 4,SettlementConfig building 04,
building.05.name,Building 5,Здание 5,SettlementConfig building 05,
building.06.name,Building 6,Здание 6,SettlementConfig building 06,
building.01.purchase_gain,+{bonus}% DPS,+{bonus}% DPS,SettlementPanel building 01 card row 3,{bonus} is integer percent gain
building.01.total_bonus,DPS +{bonus}%,DPS +{bonus}%,SettlementPanel building 01 card row 4,{bonus} is integer current total bonus
building.02.purchase_gain,+{bonus}% Gold,+{bonus}% Золота,SettlementPanel building 02 card row 3,{bonus} is integer percent gain
building.02.total_bonus,Gold +{bonus}%,Золото +{bonus}%,SettlementPanel building 02 card row 4,{bonus} is integer current total bonus
building.03.purchase_gain,+{bonus}% Damage,+{bonus}% Урона,SettlementPanel building 03 card row 3,{bonus} is integer percent gain
building.03.total_bonus,Damage +{bonus}%,Урон +{bonus}%,SettlementPanel building 03 card row 4,{bonus} is integer current total bonus
building.04.purchase_gain,+{bonus}% Ability,+{bonus}% Навыка,SettlementPanel building 04 card row 3,{bonus} is integer percent gain
building.04.total_bonus,Ability +{bonus}%,Навык +{bonus}%,SettlementPanel building 04 card row 4,{bonus} is integer current total bonus
building.05.purchase_gain,-{bonus}% CD,-{bonus}% CD,SettlementPanel building 05 card row 3,{bonus} is integer percent gain
building.05.total_bonus,CD -{bonus}%,CD -{bonus}%,SettlementPanel building 05 card row 4,{bonus} is integer current total bonus
building.06.purchase_gain,+{bonus}% Boss Gold,+{bonus}% Золота Босса,SettlementPanel building 06 card row 3,{bonus} is integer percent gain
building.06.total_bonus,Boss Gold +{bonus}%,Золото Босса +{bonus}%,SettlementPanel building 06 card row 4,{bonus} is integer current total bonus
prestige.talent.01.name,Empower,Усиление,PrestigeConfig talent 01,
prestige.talent.02.name,Bounty Hunter,Охотник,PrestigeConfig talent 02,
prestige.talent.03.name,Warchief,Военачальник,PrestigeConfig talent 03,
prestige.talent.04.name,Quick Hands,Быстрые руки,PrestigeConfig talent 04,
prestige.talent.05.name,Builder,Строитель,PrestigeConfig talent 05,
prestige.talent.06.name,Boss Hunter,Убийца Боссов,PrestigeConfig talent 06,
prestige.talent.01.purchase_gain,+{bonus}% Damage,+{bonus}% Урона,PrestigePanel talent 01 card row 3,{bonus} is integer percent gain
prestige.talent.01.total_bonus,Damage +{bonus}%,Урон +{bonus}%,PrestigePanel talent 01 card row 4,{bonus} is integer current total bonus
prestige.talent.02.purchase_gain,+{bonus}% Gold,+{bonus}% Золота,PrestigePanel talent 02 card row 3,{bonus} is integer percent gain
prestige.talent.02.total_bonus,Gold +{bonus}%,Золото +{bonus}%,PrestigePanel talent 02 card row 4,{bonus} is integer current total bonus
prestige.talent.03.purchase_gain,+{bonus}% DPS,+{bonus}% DPS,PrestigePanel talent 03 card row 3,{bonus} is integer percent gain
prestige.talent.03.total_bonus,DPS +{bonus}%,DPS +{bonus}%,PrestigePanel talent 03 card row 4,{bonus} is integer current total bonus
prestige.talent.04.purchase_gain,+{bonus}% Autoclick,+{bonus}% Автоклика,PrestigePanel talent 04 card row 3,{bonus} is integer percent gain
prestige.talent.04.total_bonus,Autoclick +{bonus}%,Автоклик +{bonus}%,PrestigePanel talent 04 card row 4,{bonus} is integer current total bonus
prestige.talent.05.purchase_gain,+{bonus}% Settlement,+{bonus}% Поселение,PrestigePanel talent 05 card row 3,{bonus} is integer percent gain
prestige.talent.05.total_bonus,Settlement +{bonus}%,Поселение +{bonus}%,PrestigePanel talent 05 card row 4,{bonus} is integer current total bonus
prestige.talent.06.purchase_gain,+{bonus}% Boss Damage,+{bonus}% Урон Боссу,PrestigePanel talent 06 card row 3,{bonus} is integer percent gain
prestige.talent.06.total_bonus,Boss Damage +{bonus}%,Урон Боссу +{bonus}%,PrestigePanel talent 06 card row 4,{bonus} is integer current total bonus
shop.gold_pack_small.name,Small Gold Pack,Малый пакет золота,ShopConfig product name,
shop.gold_pack_small.description,Gain 5 hours of gold,5 часов золота,ShopConfig product description,
shop.gold_pack_large.name,Large Gold Pack,Большой пакет золота,ShopConfig product name,
shop.gold_pack_large.description,Gain 24 hours of gold,24 часа золота,ShopConfig product description,
shop.permanent_partner_dps_x2.name,Permanent DPS x2,Вечный x2 DPS,Shop product name,
shop.permanent_partner_dps_x2.description,Permanently х2 DPS,Навсегда х2 DPS,Shop product description,
shop.permanent_click_damage_x2.name,Permanent Damage x2,Вечный x2 Урон,Shop product name,
shop.permanent_click_damage_x2.description,Permanently х2 Damage,Навсегда x2 Урон,Shop product description,
shop.permanent_gold_x2.name,Permanent Gold x2,Вечный x2 золото,Shop product name,
shop.permanent_gold_x2.description,Permanently x2 Gold,Навсегда х2 Золота,Shop product description,
shop.buy_button_count,x{count} - {cost},x{count} - {cost},ShopPanel buy button,{count} is integer; {cost} is compact number
shop.card.gold_reward,Gives +{amount} Gold,Даёт +{amount} золота,ShopPanel card effect row for gold packs,{amount} is compact number
shop.card.partner_dps_multiplier,Gives DPS x{multiplier},Даёт DPS x{multiplier},ShopPanel card effect row for partner DPS product,{multiplier} is integer
shop.card.click_damage_multiplier,Gives Damage x{multiplier},Даёт Урон x{multiplier},ShopPanel card effect row for click damage product,{multiplier} is integer
shop.card.gold_multiplier,Gives Gold x{multiplier},Даёт Золото x{multiplier},ShopPanel card effect row for gold multiplier product,{multiplier} is integer
shop.card.owned,Owned: {count},Всего: {count},ShopPanel card row 4 owned count,{count} is integer
shop.card.total_multiplier,Bonus: x{multiplier},Бонус: x{multiplier},ShopPanel card row 5 total bonus,{multiplier} is integer
shop.rewarded_gems_ad.name,Watch Ad: +3 Gems,Реклама: +3 гема,Shop rewarded ad product name,
shop.rewarded_gems_ad.description,Gems for AD,Гемы за рекламу,Shop rewarded ad product description,
shop.card.rewarded_gems,+{amount} Gems,+{amount} Гемов,ShopPanel card effect row for rewarded gems ad,{amount} is compact number
shop.button.watch_ad,Watch Ad,Смотреть,ShopPanel buy button for rewarded ad products,
shop.button.open,Open,Открыть,ShopPanel buy button for donation_entry products,
shop.gem_purchase_entry.name,Buy Gems,Купить гемы,ShopConfig gem_purchase_entry product name,
shop.gem_purchase_entry.description,Purchase gems,Покупка гемов,ShopConfig gem_purchase_entry product description,
shop.card.gem_purchase_entry,Buy Gems,Купить гемы,ShopPanel card effect row for gem_purchase_entry,
shop.gem_purchase.title,Buy Gems,Купить гемы,GemPurchaseDialog title,
shop.gem_purchase.invalid_product,Invalid gem product,Неверный товар,GemPurchaseDialog error status,
shop.gem_purchase.success,+{amount} Gems!,+{amount} гемов!,GemPurchaseDialog success status,{amount} is integer
shop.gem_purchase.cancelled,Purchase cancelled.,Покупка отменена.,GemPurchaseDialog cancel status,
shop.gem_purchase.error,Purchase failed. Please try again later.,Покупка не удалась. Попробуйте позже.,GemPurchaseDialog error status,
shop.gem_purchase.unavailable,Purchases are temporarily unavailable. Please try again later.,Покупки временно недоступны. Попробуйте позже.,GemPurchaseDialog unavailable status,
shop.gem_purchase.processing,Opening payment...,Открываем оплату...,GemPurchaseDialog processing status,
shop.gem_purchase.buy,Buy,Купить,GemPurchaseDialog buy button,
shop.gem_purchase.amount_plain,+{amount} Gems,+{amount} гемов,GemPurchaseDialog gem amount label no bonus,{amount} is integer
shop.gem_purchase.amount_bonus,+{base} Gems +{bonus} Free,+{base} гемов +{bonus} бесплатно,GemPurchaseDialog gem amount label with bonus,{base} and {bonus} are integers
shop.gem_purchase.total,Total: {amount} Gems,Всего: {amount} гемов,GemPurchaseDialog total gems label,{amount} is integer
shop.gem_purchase.price,{price} ₽,{price} ₽,GemPurchaseDialog price label,{price} is integer
shop.gem_purchase.loading_price,Loading price...,Загрузка цены...,GemPurchaseDialog Yandex catalog loading state,
shop.gem_purchase.catalog_error,Failed to load prices,Не удалось загрузить цены,GemPurchaseDialog Yandex catalog load error,
shop.gem_purchase.product_not_found,Product not found,Товар не найден,GemPurchaseDialog Yandex catalog product missing,
yandex.ad.unavailable,Ad is currently unavailable,Реклама сейчас недоступна,Yandex rewarded ad SDK error/unavailable status,
yandex.ad.timeout,Ad did not open,Реклама не открылась,Yandex rewarded ad timeout status,
yandex.catalog.timeout,Failed to load prices,Не удалось загрузить цены,Yandex payment catalog load timeout status,
yandex.catalog.unavailable,Products are currently unavailable,Товары сейчас недоступны,Yandex payment catalog unavailable status,
yandex.language.sdk_unavailable,Failed to detect platform language,Не удалось определить язык платформы,Yandex SDK language fallback diagnostic status,
shop.gems_25.name,25 Gems,25 гемов,GemPurchaseConfig product name,
shop.gems_25.description,25 gems for 24 ₽,25 гемов за 24 ₽,GemPurchaseConfig product description,
shop.gems_150.name,150 Gems,150 гемов,GemPurchaseConfig product name,
shop.gems_150.description,100 gems + 50 free for 99 ₽,100 гемов + 50 бесплатно за 99 ₽,GemPurchaseConfig product description,
shop.gems_500.name,500 Gems,500 гемов,GemPurchaseConfig product name,
shop.gems_500.description,250 gems + 250 free for 249 ₽,250 гемов + 250 бесплатно за 249 ₽,GemPurchaseConfig product description,
shop.gems_1500.name,1500 Gems,1500 гемов,GemPurchaseConfig product name,
shop.gems_1500.description,500 gems + 1000 free for 499 ₽,500 гемов + 1000 бесплатно за 499 ₽,GemPurchaseConfig product description,
shop.rewarded_gems_ad.reward_status,+{amount} Gems!,+{amount} гемов!,Status text after rewarded ad grants gems,{amount} is integer
task.manual_damage_500.title,Deal 500 Damage,Нанести 500 Урона,TaskConfig task title,
task.defeat_25_enemies.title,Defeat 25 enemies,Победить 25 врагов,TaskConfig task title,
task.defeat_2_elites.title,Defeat 2 elite enemies,Победить 2 элитных врагов,TaskConfig task title,
task.defeat_1_boss.title,Defeat 1 boss,Победить 1 босса,TaskConfig task title,
task.gain_10_hero_levels.title,Buy 10 Levels,Купить 10 Уровней,TaskConfig task title,
task.hire_10_partners.title,Hire 10 partners,Нанять 10 Партнеров,TaskConfig task title,
task.build_5_buildings.title,Buy 5 buildings,Купить 5 Строений,TaskConfig task title,
task.activate_autoclick_1.title,Activate Autoclick 1 time,Активировать Автоклик 1 раз,TaskConfig task title,
task.gain_10_game_levels.title,Reach 10 more stages,Пройти 10 этапов,TaskConfig task title,
ability.autoclick.name,Autoclick,Автоклик,UpgradePanel ability name,
ability.gold_bonus.name,Gold Bonus,Бонус Золота,UpgradePanel ability name,
ability.focus_burst.name,Focus Burst,Взрывной Урон,UpgradePanel ability name,
ability.rally.name,Rally,Боевой Клич,UpgradePanel ability name,
ability.description.autoclick.unlock,Unlock: {hits} hits/sec | {duration}s,Открытие: {hits} ударов/с | {duration}с,Ability description,{hits} and {duration} are integers
ability.description.autoclick.max,{hits} hits/sec | {duration}s,{hits} ударов/с | {duration}с,Ability description,{hits} and {duration} are integers
ability.description.autoclick.next,{hits} hits/sec | {duration}s | Next: +{rate}% rate, +{bonus_duration}s,{hits} ударов/с | {duration}с | Далее: +{rate}% скорость, +{bonus_duration}с,Ability description,{hits}, {duration}, {rate}, and {bonus_duration} are integers
ability.description.gold_bonus.unlock,Unlock: x{multiplier} gold | 45s,Открытие: x{multiplier} золото | 45с,Ability description,{multiplier} is decimal
ability.description.gold_bonus.max,x{multiplier} gold,x{multiplier} золото,Ability description,{multiplier} is decimal
ability.description.gold_bonus.next,x{multiplier} gold | Next: x{next},x{multiplier} золото | Далее: x{next},Ability description,{multiplier} and {next} are decimals
ability.description.focus_burst.unlock,Unlock: x{multiplier} damage | 20s,Открытие: x{multiplier} урон | 20с,Ability description,{multiplier} is decimal
ability.description.focus_burst.max,x{multiplier} damage,x{multiplier} урон,Ability description,{multiplier} is decimal
ability.description.focus_burst.next,x{multiplier} damage | Next: x{next},x{multiplier} урон | Далее: x{next},Ability description,{multiplier} and {next} are decimals
ability.description.rally.unlock,Unlock: x{multiplier} partner DPS | 30s,Открытие: x{multiplier} DPS партнёров | 30с,Ability description,{multiplier} is decimal
ability.description.rally.max,x{multiplier} partner DPS,x{multiplier} DPS партнёров,Ability description,{multiplier} is decimal
ability.description.rally.next,x{multiplier} partner DPS | Next: x{next},x{multiplier} DPS партнёров | Далее: x{next},Ability description,{multiplier} and {next} are decimals
ability.autoclick.effect,Autoclick {hits}/s,Автоклик {hits}/с,UpgradePanel ability card effect row,{hits} is attacks per second
ability.gold_bonus.effect,Gold x{multiplier},Золото x{multiplier},UpgradePanel ability card effect row,{multiplier} is formatted multiplier
ability.focus_burst.effect,Damage x{multiplier},Урон x{multiplier},UpgradePanel ability card effect row,{multiplier} is formatted multiplier
ability.rally.effect,DPS x{multiplier},DPS x{multiplier},UpgradePanel ability card effect row,{multiplier} is formatted multiplier
ability.autoclick.duration,Duration: {seconds}s,Длительность: {seconds}с,UpgradePanel ability duration row,{seconds} is integer seconds
ability.gold_bonus.duration,Duration: {seconds}s,Длительность: {seconds}с,UpgradePanel ability duration row,{seconds} is integer seconds
